"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"130","... < 100 DM",12,"critical account/other credits existing","car (new)",3499,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"skilled employee/official",1,"no","yes",0
"131","0 <= ... < 200 DM",48,"existing credits paid back duly till now","car (new)",NA,"unknown/no savings account","4 <= ... < 7 years",1,"female : divorced/separated/married","none",2,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"132","... < 100 DM",36,"delay in paying off in the past","retraining",6887,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"building society savings agreement/life insurance",29,"stores","own",1,"skilled employee/official",1,"yes","yes",0
"133","no checking account",15,"existing credits paid back duly till now","radio/television",2708,"... < 100 DM","... < 1 year",2,"male : single","none",3,"building society savings agreement/life insurance",27,"bank","own",2,"unskilled - resident",1,"no","yes",1
"134","no checking account",18,"existing credits paid back duly till now","radio/television",1984,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",47,"bank","for free",2,"skilled employee/official",1,"no","yes",1
"135","no checking account",60,"existing credits paid back duly till now","domestic appliances",10144,"100 <= ... < 500 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",21,"none","own",1,"skilled employee/official",1,"yes","yes",1
"136","no checking account",12,"critical account/other credits existing","domestic appliances",1240,"unknown/no savings account","... >= 7 years",4,"female : divorced/separated/married","none",2,"real estate",38,"none","own",2,"skilled employee/official",1,"yes","yes",1
"137","no checking account",27,"delay in paying off in the past","car (used)",8613,"... >= 1000 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"138","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",766,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"no","yes",0
"139","0 <= ... < 200 DM",15,"critical account/other credits existing","domestic appliances",2728,"unknown/no savings account","4 <= ... < 7 years",4,"male : single","guarantor",2,"real estate",35,"bank","own",3,"skilled employee/official",1,"yes","yes",1
"140","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","domestic appliances",1881,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes","yes",1
"141","... >= 200 DM / salary for at least 1 year",6,"existing credits paid back duly till now","car (new)",709,"... >= 1000 DM","... < 1 year",2,"male : married/widowed","none",2,"real estate",27,"none","own",1,"unemployed/unskilled - non-resident",1,"no","no",1
"142","0 <= ... < 200 DM",36,"existing credits paid back duly till now","domestic appliances",4795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"unknown/no property",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"143","... < 100 DM",27,"existing credits paid back duly till now","domestic appliances",NA,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"car or other",27,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"144","... < 100 DM",18,"existing credits paid back duly till now","radio/television",2462,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"no","yes",0
"145","no checking account",21,"critical account/other credits existing","radio/television",2288,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"yes","yes",1
"146","0 <= ... < 200 DM",48,"all credits at this bank paid back duly","others",3566,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"no","yes",1
"147","... < 100 DM",6,"critical account/other credits existing","car (new)",860,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"unknown/no property",39,"none","own",2,"skilled employee/official",1,"yes","yes",1
"148","no checking account",12,"critical account/other credits existing","car (new)",682,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other",51,"none","own",2,"skilled employee/official",1,"yes","yes",1
"149","... < 100 DM",36,"critical account/other credits existing","radio/television",5371,"... < 100 DM","1 <= ... < 4 years",3,"male : single","guarantor",2,"building society savings agreement/life insurance",28,"none","own",2,"skilled employee/official",1,"no","yes",1
"150","no checking account",18,"critical account/other credits existing","domestic appliances",1582,"... >= 1000 DM","... >= 7 years",4,"male : single","none",4,"car or other",46,"none","own",2,"skilled employee/official",1,"no","yes",1
"151","no checking account",6,"existing credits paid back duly till now","domestic appliances",1346,"100 <= ... < 500 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",42,"bank","for free",1,"skilled employee/official",2,"yes","yes",1
"152","no checking account",10,"existing credits paid back duly till now","domestic appliances",1924,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",4,"building society savings agreement/life insurance",38,"none","own",1,"skilled employee/official",1,"yes","no",1
"153","... >= 200 DM / salary for at least 1 year",36,"existing credits paid back duly till now","domestic appliances",5848,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"154","0 <= ... < 200 DM",24,"critical account/other credits existing","car (used)",7758,"... >= 1000 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown/no property",29,"none","rent",1,"skilled employee/official",1,"no","yes",1
"155","0 <= ... < 200 DM",24,"delay in paying off in the past","others",6967,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other",36,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"156","... < 100 DM",12,"existing credits paid back duly till now","radio/television",1282,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes",0
"157","... < 100 DM",9,"critical account/other credits existing","education",1288,"100 <= ... < 500 DM","... >= 7 years",3,"male : single","guarantor",4,"real estate",48,"none","own",2,"skilled employee/official",2,"no","no",1
"158","... < 100 DM",12,"all credits at this bank paid back duly","business",339,"... < 100 DM","... >= 7 years",4,"male : married/widowed","none",1,"car or other",45,"bank","own",1,"unskilled - resident",1,"no","yes",1
"159","0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",3512,"100 <= ... < 500 DM","4 <= ... < 7 years",2,"male : single","none",3,"car or other",38,"bank","own",2,"skilled employee/official",1,"yes","yes",1
"160","no checking account",6,"critical account/other credits existing","domestic appliances",1898,"unknown/no savings account","1 <= ... < 4 years",1,"male : single","none",2,"real estate",34,"none",NA,2,"unskilled - resident",2,"no","yes",1
"161","no checking account",24,"critical account/other credits existing","domestic appliances",2872,"100 <= ... < 500 DM","... >= 7 years",3,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee/official",2,"yes","yes",1
"162","no checking account",18,"critical account/other credits existing","car (new)",1055,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"building society savings agreement/life insurance",30,"none","own",2,"skilled employee/official",1,"no","yes",1
"163","no checking account",15,"existing credits paid back duly till now","repairs",1262,"500 <= ... < 1000 DM","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",36,"none","own",2,"skilled employee/official",1,"yes","yes",1
"164","0 <= ... < 200 DM",10,"existing credits paid back duly till now","car (new)",7308,"... < 100 DM","unemployed",2,"male : single","none",4,"unknown/no property",70,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"165","no checking account",36,"existing credits paid back duly till now","car (new)",909,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",36,"none","own",1,"skilled employee/official",1,"no","yes",1
"166","no checking account",6,"existing credits paid back duly till now","radio/television",2978,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"male : single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"yes","yes",1
"167","... < 100 DM",18,"existing credits paid back duly till now",NA,1131,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",2,"car or other",33,"none","own",1,"skilled employee/official",1,"no","yes",0
"168","0 <= ... < 200 DM",11,"existing credits paid back duly till now","radio/television",1577,"... >= 1000 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"real estate",20,"none","own",1,"skilled employee/official",1,"no","yes",1
"169","no checking account",24,"existing credits paid back duly till now","radio/television",3972,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",25,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"170","0 <= ... < 200 DM",24,"critical account/other credits existing","others",1935,"... < 100 DM","... >= 7 years",4,"male : divorced/separated","none",4,"real estate",31,"none","own",2,"skilled employee/official",1,"yes","yes",0
"171","... < 100 DM",15,"no credits taken/all credits paid back duly","car (new)",950,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"car or other",33,"none","rent",2,"skilled employee/official",2,"no","yes",0
"172","no checking account",12,"existing credits paid back duly till now","radio/television",763,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","yes",1
"173","0 <= ... < 200 DM",24,"delay in paying off in the past","radio/television",2064,"... < 100 DM","unemployed",3,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",34,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"174","0 <= ... < 200 DM",8,"existing credits paid back duly till now","domestic appliances",1414,"... < 100 DM","1 <= ... < 4 years",4,"male : single","guarantor",2,"real estate",33,"none","own",1,"skilled employee/official",1,"no","no",1
"175","... < 100 DM",21,"delay in paying off in the past","retraining",3414,"... < 100 DM","... < 1 year",2,"male : single","none",1,"building society savings agreement/life insurance",26,"none","own",2,"skilled employee/official",1,"no","yes",0
"176","no checking account",30,"all credits at this bank paid back duly","car (used)",7485,"unknown/no savings account","unemployed",4,"female : divorced/separated/married","none",1,"real estate",53,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
